번호,사무소명,사무소주소,영업현황
169,늘행복공인중개사사무소,"대전광역시 서구 관저로 46, 주상가동 103호(관저동,구봉마을7단지)",영업중
170,뉴태양공인중개사사무소,대전광역시 서구 도산로 35(도마1동),영업중
171,래미안시티공인중개사사무소,"대전광역시 서구 가장로 106, 별리상가 101호(가장동,삼성래미안(아))",영업중
172,빅토리부동산중개사무소,"대전광역시 서구 월평새뜸로4번길 95, 104호(월평동)",영업중
173,더미소공인중개사사무소,"대전광역시 서구 월평중로13번길 45, 1층",영업중
174,미소공인중개사사무소,"대전광역시 서구 계룡로583번길 55, B101호(탄방동, 위즈아파트)",영업중
175,둔산수정공인중개사사무소,"대전광역시 서구 청사로 282, 수정타운상가동 1층 116호(둔산동)",영업중
176,비룡공인중개사사무소,"대전광역시 서구 만년로 45, 상가 111호(만년동,초원(아))",영업중
177,대일공인중개사사무소,"대전광역시 서구 월평서로6번길 47, 1층(월평동)",영업중
178,새둥지공인중개사사무소,"대전광역시 서구 청사로 254, 상가 105호(둔산2동,둥지(아))",영업중
179,무지개공인중개사사무소,"대전광역시 서구 청사서로 11, 상가 111호 (월평2동, 무지개(아))",영업중
180,은아랜드공인중개사사무소,"대전광역시 서구 벌곡로1353번길 19, 2호(가수원동)",영업중
181,연수공인중개사사무소,"대전광역시 서구 벌곡로1353번길 29, 1층(가수원동)",영업중
182,부동산박사마을공인중개사사무소,"대전광역시 서구 둔산중로58번길 29, 103호(둔산동, 센트럴하이브리드)",영업중
183,메트로공인중개사사무소,"대전광역시 서구 둔산중로 66, 108호(둔산동, 메트로팰리스)",영업중
184,효성타운공인중개사사무소,"대전광역시 서구 도산로 11, 상가동 113호(도마동, 효성타운아파트)",영업중
185,법원공인중개사사무소,"대전광역시 서구 둔산중로 74, 102호(둔산동, 인곡타워)",영업중
186,연지공인중개사사무소,대전광역시 서구 동서대로 1006(내동),영업중
187,서우랜드공인중개사사무소,"대전광역시 서구 동서대로 994, 상가 101호(내동, 서우2단지아파트)",영업중
188,금공인중개사사무소,대전광역시 서구 갈마로 101(갈마2동),영업중
189,무궁화공인중개사사무소,"대전광역시 서구 청사서로 70, 상가 111호(월평2동,무궁화(아))",영업중
190,글로벌공인중개사사무소,대전광역시 서구 도산로 9(도마1동),영업중
191,주공원공인중개사사무소,"대전광역시 서구 월평북로 11, 상가 101호 (월평2동, 주공2단지)",영업중
192,더플러스공인중개사사무소,"대전광역시 서구 탄방로 108, 103호",영업중
193,아인공인중개사사무소,"대전광역시 서구 탄방로 87-5, 102호(탄방동)",영업중
194,탄방랜드공인중개사사무소,"대전광역시 서구 탄방로 52, 101호(탄방동)",영업중
195,웅진공인중개사사무소,"대전광역시 서구 계룡로546번길 7-31, 1층 일부(괴정동)",영업중
196,믿음공인중개사사무소,대전광역시 서구 조달청길 59(도마1동),영업중
197,애플공인중개사사무소,"대전광역시 서구 월평새뜸로8번길 62, 102호 (월평1동)",영업중
198,뉴미래로공인중개사사무소,"대전광역시 서구 제비네4길 132, 101호",영업중
199,공원공인중개사사무소,대전광역시 서구 문정로112번안길 46(탄방동),영업중
200,부동산마을공인중개사사무소,"대전광역시 서구 도솔로357번길 55, 상가101호(괴정동)",영업중
